name,sku,category,subcategory,unit,brand,cost_price,selling_price,wholesale_price,opening_stock,min_stock,max_stock,track_stock,is_sellable,barcode,description,image_url,variation_name,variation_sku,variation_barcode
P BANARSI SHEFON BOTI,SLM-0001,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1500,3750,,242.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PMEENAKARI BAN SHEFON BOTI,SLM-0002,Unstitched Fabric,Banarsi,Meter,Din Couture,1800,4500,,172.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SPURE BAN SHAFFON BOOTI,SLM-0003,Unstitched Fabric,Semi-Pure - Banarsi,Meter,Din Couture,500,1250,,72.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SP BAN SHEFON JALL,SLM-0004,Unstitched Fabric,Banarsi,Meter,Din Couture,1800,4500,,680.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE MASOORI BAN JALL,SLM-0005,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,2600,6500,,58,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KATAN SILK BNRSI,SLM-0006,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1800,4500,,348.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK LORIS ZARI,SLM-0007,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,600,1500,,122,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SEMI PURE ATLAS,SLM-0008,Unstitched Fabric,Semi-Pure - Silk / Atlas,Meter,Din Couture,700,1750,,71,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE SELF BNRSI KATAN,SLM-0009,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,2300,5750,,127,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE ATLAS DOHRA,SLM-0010,Unstitched Fabric,Pure - Silk / Atlas,Meter,Din Couture,1800,4500,,581.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE ATLAS TERA,SLM-0011,Unstitched Fabric,Pure - Silk / Atlas,Meter,Din Couture,2500,6250,,255,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE MEENAKARI ATLAS,SLM-0012,Unstitched Fabric,Pure - Silk / Atlas,Meter,Din Couture,2700,6750,,323,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAMBER CHIFFON JALL,SLM-0013,Unstitched Fabric,Chiffon,Meter,Din Couture,500,1250,,103,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE COTTON BANARSI JALL,SLM-0014,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1400,3500,,57.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KATAN SATAN JAMAWAR,SLM-0015,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,4500,11250,,21.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KATAN JAMAWAR,SLM-0016,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,6000,15000,,19,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
JPURE SELF JAMAWAR,SLM-0017,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,3200,8000,,111.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE LORIS ZARI,SLM-0018,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,1000,2500,,117.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KARANDI BARSI,SLM-0019,Unstitched Fabric,Pure - Karandi,Meter,Din Couture,2200,5500,,58,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK KARANDI,SLM-0020,Unstitched Fabric,PK Viscos - Karandi,Meter,Din Couture,1200,3000,,20.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE SELF KARANDI,SLM-0021,Unstitched Fabric,Pure - Karandi,Meter,Din Couture,1600,4000,,41,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK COLOUR JAMAWAR,SLM-0022,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,800,2000,,1132.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK COLOUR JAMAWAR LOCL,SLM-0023,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,250,625,,171.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK JAMAWAR COLOU,SLM-0024,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,1200,3000,,63,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAMBER EMB JALL,SLM-0025,Unstitched Fabric,Chiffon,Meter,Din Couture,1500,3750,,1186,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAMBER JALL EMB,SLM-0026,Unstitched Fabric,Chiffon,Meter,Din Couture,1800,4500,,567,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAMBER EMB LIGHT JALL,SLM-0027,Unstitched Fabric,Chiffon,Meter,Din Couture,1200,3000,,1968.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAMBER BDR DUPTA,SLM-0028,Unstitched Fabric,Chiffon,Meter,Din Couture,900,2250,,1032,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
"BA,MBER DOT DUPTA",SLM-0029,Unstitched Fabric,General Fabric,Meter,Din Couture,700,1750,,812.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
