legacy_code,legacy_account_id,legacy_name,legacy_active,legacy_linked_contact_id,parent_code,line_count,sum_debit,sum_credit,net_dr_cr,derived_contact_code,derived_contact_id,derived_contact_name,derived_contact_type,ap_account_id,ap_code,ap_active,ap_linked_contact_id,ap_contact_type,verified_remap_to,ap_leaf_count_for_contact
210006,ea61f28d-f879-4778-85b9-6f9994dd0b8c,INR CARGO,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0006,04c722a7-cd48-487a-83ba-7e57734d00df,INR CARGO,supplier,6b3ca6e5-5947-40de-b631-73ef352fde19,AP-SUPZHD0006,true,04c722a7-cd48-487a-83ba-7e57734d00df,supplier,AP-SUPZHD0006,1
210007,2fe47afc-ac2e-4b8d-8146-5741ca83d27a,DHL,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0007,6ce5bed0-bd0a-495d-8841-19f90be6188c,DHL,courier,9c512049-6b68-4d2a-9516-27d43163efc4,AP-SUPZHD0007,true,6ce5bed0-bd0a-495d-8841-19f90be6188c,courier,AP-SUPZHD0007,1
210008,ea75c626-9634-41d0-8b6c-1a5543208349,SKY NET,t,1deab892-2354-46d3-88b9-d624174e1928,2090,10,950000.00,950000.00,0.00,SUP-ZHD-0008,1deab892-2354-46d3-88b9-d624174e1928,SKY NET,supplier,"","","","","","",0
210009,6895c074-f555-411f-8398-f8e07f966b51,ABRASH KRH,t,2ca8383f-5c1f-4b48-8692-7a557d5efab8,2090,6,811500.00,811500.00,0.00,SUP-ZHD-0009,2ca8383f-5c1f-4b48-8692-7a557d5efab8,ABRASH KRH,supplier,"","","","","","",0
210010,b1a6f7f8-57cf-43c4-8a68-a6eb8716e41e,SLM BNRS ATLAS PURE,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0010,e7ab5807-7e01-4cf8-8745-cb383c8db474,SLM BNRS ATLAS PURE,supplier,9641654b-c41a-472f-b627-de434b19ca14,AP-SUPZHD0010,true,e7ab5807-7e01-4cf8-8745-cb383c8db474,supplier,AP-SUPZHD0010,1
210011,dda41f6b-497a-4e21-8a5c-a7c6f767cc72,ABC,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0011,bd2b67a2-ba26-4652-8d14-3ca0791213b8,ABC,supplier,e6c4cbe6-9ea2-40e9-8500-f0fc33218eae,AP-SUPZHD0011,true,bd2b67a2-ba26-4652-8d14-3ca0791213b8,supplier,AP-SUPZHD0011,1
210012,23bcca1e-2dce-4627-83c1-6fde40c84f40,ADNAN GUJ,t,45491109-ccf5-4459-8f28-1d984c01e3ce,2090,3,235000.00,235000.00,0.00,SUP-ZHD-0012,45491109-ccf5-4459-8f28-1d984c01e3ce,ADNAN GUJ,supplier,"","","","","","",0
210013,0f0f6d7e-b0f7-465c-882b-b9690398d067,AHMED BHWL,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0013,5cf9c422-5440-4cb1-859b-b1a4d7a0f461,AHMED BHWL,supplier,9053c710-6f29-4b3e-8776-25a97572cdc3,AP-SUPZHD0013,true,5cf9c422-5440-4cb1-859b-b1a4d7a0f461,supplier,AP-SUPZHD0013,1
210014,2a127b2f-ccd4-4b7d-8d35-345609222dcb,ALEF FSD,t,fbea6fba-81d4-4bf6-80ec-ad9dca695a35,2090,2,100000.00,100000.00,0.00,SUP-ZHD-0014,fbea6fba-81d4-4bf6-80ec-ad9dca695a35,ALEF FSD,supplier,"","","","","","",0
210015,e0222aed-795f-4fb0-81e6-2092c0dff5ce,AMIR BNRS,f,"",2090,0,0.00,0.00,0.00,SUP-ZHD-0015,8384b8e1-05da-4641-8196-c929d7ad1dc7,AMIR BNRS,supplier,4f296eff-2d68-4d37-b3d1-90edec56e198,AP-SUPZHD0015,true,8384b8e1-05da-4641-8196-c929d7ad1dc7,supplier,AP-SUPZHD0015,1
